source_variable,full_definition,unit,measurement_period,measurement_method,workbook,sheet,exact_source_column,measurement_status,notes
SCC_cells_per_mL,Somatic cell count (cells/mL),cells/mL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,SCC cells per mL,LABORATORY_MEASURED,
Fat_%,Milk fat percentage,%,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Fat%,LABORATORY_MEASURED,
SNF_%,Solids-not-fat percentage,%,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,SNF%,LABORATORY_MEASURED,
Protein_%,Milk protein percentage,%,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Protein %,LABORATORY_MEASURED,
Salt_%,Milk salt percentage,%,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Salt%,LABORATORY_MEASURED,
Lactose_%,Milk lactose percentage,%,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Lactose%,LABORATORY_MEASURED,
pH,Milk pH value,UNCLEAR,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,pH,LABORATORY_MEASURED,
Cow_ID,Unique identification number of each cow,UNCLEAR,per observation,Administrative/source identifier,Blood metabolites.xlsx,Sheet1,Animal ID,IDENTIFIER,
Genetic_Group,"Genetic proportion of Holstein-Friesian inheritance (0%, 50%, 62.5%, 75%, 87.5% HF)",UNCLEAR,per observation,Recorded observation; exact collection method UNCLEAR,Blood metabolites.xlsx,Sheet1,Genetic Group,OBSERVED,
THI_Range,"THI category (T₀ ≤75, T₁ = 75–80, T₂ ≥80)",UNCLEAR,per observation,Assigned categorical range based on environmental THI,Blood metabolites.xlsx,Sheet1,THI Range,TREATMENT_ASSIGNED,
Replication_No,Replication number of observation,UNCLEAR,per observation,Administrative/source identifier,Blood metabolites.xlsx,Sheet1,Replication No,IDENTIFIER,
Glucose_mmol_per_L,Serum glucose concentration (mmol/L),mmol/L,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Glucose (mmol/L),LABORATORY_MEASURED,
Total_Protein_g_per_dL,Total serum protein (g/dL),g/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Total Protein (g/dL),LABORATORY_MEASURED,
Uric_Acid_mg_per_dL,Serum uric acid (mg/dL),mg/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Uric Acid (mg/dL),LABORATORY_MEASURED,
Cholesterol_mg_per_dL,Total serum cholesterol (mg/dL),mg/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Cholesterol (mg/dL),LABORATORY_MEASURED,
Calcium_mg_per_dL,Serum calcium (mg/dL),mg/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Calcium (mg/dL),LABORATORY_MEASURED,
HDL_mg_per_dL,High-density lipoprotein concentration (mg/dL),mg/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,HDL (mg/dL),LABORATORY_MEASURED,
AST_U_per_L,Aspartate aminotransferase activity (U/L),UNCLEAR,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,AST (U/I),LABORATORY_MEASURED,"Metadata states U/L, but workbook header states U/I; unit must be confirmed."
ALT_U_per_L,Alanine aminotransferase activity (U/L),UNCLEAR,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,ALT (U/I),LABORATORY_MEASURED,"Metadata states U/L, but workbook header states U/I; unit must be confirmed."
Cortisol_µg_per_dL,Serum cortisol concentration (µg/dL),g/dL,per observation,Source record says standard laboratory/biochemical procedures; exact instrument/protocol UNCLEAR,Blood metabolites.xlsx,Sheet1,Cortisol (µg/dL),LABORATORY_MEASURED,
