file,sheet,row_number,identifier,column,issue_type,original_value,severity,recommended_action
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,38,253,leftover,NEGATIVE_LEFTOVER,-6.59918742,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,39,255,cowageinyears,MISSING_VALUE,,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,43,259,leftover,NEGATIVE_LEFTOVER,-1.5853066699999987,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,45,261,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,45,261,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,47,264,leftover,NEGATIVE_LEFTOVER,-4.364341300000001,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,48,266,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,49,267,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,51,269,leftover,NEGATIVE_LEFTOVER,-2.2979973830000002,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,52,271,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,60,282,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,61,283,leftover,NEGATIVE_LEFTOVER,-4.2282651300000005,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,62,284,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,%Protein,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,Cpintakeingr,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,Protein/content/gr/kg,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,67,289,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,68,290,%CP gap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
