source_variable_name,exact_definition,unit,period,measurement_status,source_file,source_sheet,source_column,notes
waterday,"Water consumed per day measured using the number of jeri cans of 20, 10 and 5 litres that a farmer provides to a cow per day(litres)",L/cow/day,per cow per day,OWNER_REPORTED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,waterday,
waterrequi.,The quantity of water that a cow is requiring. That quantity was calculated based on the formula by Erickson and Kalscheur (2019) FWI =12.3+2.15 x DMIR+0.73 x PM.  FWI(free water intake) is a function of dry matter intake requirement (DMIR) and potential milk (PM) (litres),L/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,waterrequi.,
gapwater,The gap in water intake=the required water minus the free water intake(Litres),L/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,gapwater,
%watergap,The precentage of water gap=the gap in water * 100/ the required water (%),percent,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%watergap,
DMfeeds,Dry matter in feeds. The DM content was determined by oven drying the samples at 60 degree Celcius for three days.(%),percent,UNCLEAR,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DMfeeds,
MEfeeds,Metabolizable energy in feeds = 2.2 + 0.136 G24 + 0.057CP + 0.0029CP^2. Where GV24 = gas volume generated after 24 h of substrate incubation; CP=crude protein content.(MJ/kg DM),MJ/kg DM,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,MEfeeds,
NDF feeds,"Neutral detergent fiber, determined using ANKOM fibre bags F57, 25 micro porosities where samples were rinsed using neutral detergent solution (NDS) for two hours.(kgDM)",UNCLEAR,UNCLEAR,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,NDF feeds,"Metadata states kgDM, but values and the documented 120/NDF equation behave like percentage; unit is UNCLEAR."
DMIindex,Dry matter intake index: it is a value obtained by the DM intake of a given feed per 100 kg BW =120/NDF (%DM),percent of body weight,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DMIindex,
DMIcapacity (kgDM),Dry matter intake capacity:  dry matter intake of feeds per body weight=120/NDF x BW/100 (kg),kg DM/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DMIcapacity (kgDM),
DMI gap,Dry matter intake gap=dry matter intake requirement minus dry matter intake capacity(kg),kg DM/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DMI gap,
%gapDMI,Percentage of the dry matter intake gap=DM intake*100/DM intake requirement(%),percent,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%gapDMI,
MEIntake,Metabolizable energy intake=ME in feeds x DM intake (MJ),MJ/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,MEIntake,
MW*0.589=Energyformaintenance,Energy for maintenance =BW^0.75 x 0.589 (MJ); where BW is the body weight,MJ/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,MW*0.589=Energyformaintenance,
5.023*peakMilk,Energy for potential milk=5.023*potential Milk(MJ/day),MJ/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,5.023*peakMilk,
MEmaint+peakmilk,Energy for both maintenance and potential milk= energy for maintenance+ energy for potential milk(MJ/day),MJ/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,MEmaint+peakmilk,
gapME,Gap ME= energy requirement minus energy intake(MJ/day),MJ/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,gapME,
%MEgap,Percentage of ME gap=obtaned value for ME gap*100/obtained value for energy requirement (%),percent,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%MEgap,
%Protein,Percentage of protein in feeds (%),percent,UNCLEAR,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%Protein,
Protein/content/gr/kg,Protein content (g per kg),g/kg DM,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,Protein/content/gr/kg,
Cpintakeingr,CP intake (g/day),g/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,Cpintakeingr,
CPmaint=6.27*MW,CP for maintenance=6.27*MW (g/day),g/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,CPmaint=6.27*MW,
CPmilk,CP required for potential milk=82*Milk quantity(g/day),g/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,CPmilk,
TotalreqCP,Total required CP for both maintenance and potential milk production=(6.26*MW)+(82*Milk quantity)(g/day),g/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,TotalreqCP,
gapCP,Gap in CP intake=CP required for both maintenance and potential milk minus CP required for maintenance(g/day),g/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,gapCP,Metadata definition conflicts with the repository formula and row values; rows use total CP requirement minus CP intake.
%CP gap,Percentage of gap in crude protein=obtaine value for gap in CP*100/the obtained value of total CP requirement(%),percent,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%CP gap,
Lab N°,Laboratory sample identification number=It corresponds to samples made of mixtures of different fodder ingredients,identifier,UNCLEAR,IDENTIFIER,Different fodders components in the samples.xlsx,Composites feeds,Lab N°,
SAMPLE ID,Sample identification: different fodders served to individual cow per day,ingredient-list text,fodders served to a selected cow per day,OBSERVED,Different fodders components in the samples.xlsx,Composites feeds,SAMPLE ID,
Age,"Growth stages of a calf from birth to weaning: From birth, 2nd day, 3rd -8days, 9-60day,61st-90days,91st to 120 days, 121 days-150,151- onwards",calf age band,UNCLEAR,OBSERVED,Bucket feeding plan (Supplemental Table).docx,Table 1,Age,
Milk consumption/day,"Gradual milk consumption of a calf from birth to weaning time : 6litres, 6L,6L,4L,4L,2L,2L, weaning time",L/calf/day,per calf per day,OBSERVED,Bucket feeding plan (Supplemental Table).docx,Table 1,Milk consumption/day,
Milk production/day,"Cow m milk performance from calving to weaning:Colostrum production from calving to 8th day post calving, normal milk production from 9th day onward",L/cow/day,per cow per day,OBSERVED,Bucket feeding plan (Supplemental Table).docx,Table 1,Milk production/day,
