file,sheet,source_row_number,cow_id,observation_id,column,issue_type,original_value,severity,recommended_action
"DMI, milk yield and composition.xlsx",Sheet1,145,111,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,146,111,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,147,111,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,148,111,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,149,111,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,150,111,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,151,111,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,287,211,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,288,211,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,289,211,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,290,211,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,291,211,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,292,211,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,293,211,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,294,211,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,295,211,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,296,211,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,297,211,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,298,211,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,299,211,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,300,211,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,301,211,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,211,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,437,311,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,438,311,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,439,311,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,440,311,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,441,311,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,442,311,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,443,311,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,444,311,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,445,311,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,446,311,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,447,311,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,448,311,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,449,311,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,450,311,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,451,311,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,311,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,587,411,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,588,411,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,589,411,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,590,411,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,591,411,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,592,411,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,593,411,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,594,411,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,595,411,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,596,411,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,597,411,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,598,411,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,599,411,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,600,411,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,601,411,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,411,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,737,511,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,738,511,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,739,511,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,740,511,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,741,511,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,742,511,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,743,511,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,744,511,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,745,511,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,746,511,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,747,511,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,748,511,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,749,511,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,750,511,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,751,511,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,511,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,N/A,N/A,UNCLEAR,DMI (kg),HEADER_PERIOD_AMBIGUITY,Header says kg; metadata variable name says kg per day,MEDIUM,Retain kg/cow/day only with metadata and repository provenance.
metadata.docx,N/A,N/A,N/A,UNCLEAR,DMI,DMI_COLLECTION_PROTOCOL_UNCLEAR,Feed offered/refused method is not documented,HIGH,Obtain the DMI measurement protocol before model training.
metadata.docx,N/A,N/A,N/A,UNCLEAR,File 2,SOURCE_FILENAME_MISMATCH,"metadata: milk yield and composition.xlsx; supplied: DMI, milk yield and composition.xlsx",MEDIUM,Confirm that the supplied workbook is the documented File 2.
metadata.docx,N/A,N/A,N/A,UNCLEAR,Milk Yield,MILK_COLLECTION_PROTOCOL_UNCLEAR,Exact collection/instrument method is not documented,MEDIUM,Obtain the milk recording protocol.
metadata.docx,N/A,N/A,N/A,UNCLEAR,laboratory fields,LABORATORY_METHODS_UNCLEAR,Exact instruments and assays are absent,MEDIUM,Obtain laboratory methods and quality-control details.
metadata.docx,N/A,N/A,N/A,UNCLEAR,missing codes,MISSING_VALUE_CODES_UNDOCUMENTED,UNCLEAR,LOW,Confirm source missing-value conventions.
physiological responses.xlsx,Sheet1,10,101,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,11,101,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,12,101,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,12,101,UNCLEAR,THI Range,INCONSISTENT_THI_LABEL_FORMAT,T2 (≥80),LOW,Use metadata-supported mapping only in a future approved step.
physiological responses.xlsx,Sheet1,13,101,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,14,101,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,15,101,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,152,201,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,152,201,UNCLEAR,Genetic group,INCONSISTENT_GENETIC_GROUP_LABEL_FORMAT,HF_50,MEDIUM,Confirm documented equivalence before any future harmonization.
physiological responses.xlsx,Sheet1,153,201,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,154,201,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,155,201,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,156,201,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,157,201,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,158,201,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,159,201,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,16,101,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,160,201,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,161,201,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,162,201,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,163,201,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,164,201,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,165,201,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,166,201,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,201,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,2,101,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,2,101,UNCLEAR,THI Range,INCONSISTENT_THI_LABEL_FORMAT,T0 (≤75),LOW,Use metadata-supported mapping only in a future approved step.
physiological responses.xlsx,Sheet1,3,101,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,101,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,302,301,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,302,301,UNCLEAR,Genetic group,INCONSISTENT_GENETIC_GROUP_LABEL_FORMAT,HF_62.5,MEDIUM,Confirm documented equivalence before any future harmonization.
physiological responses.xlsx,Sheet1,303,301,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,304,301,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,305,301,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,306,301,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,307,301,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,308,301,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,309,301,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,310,301,T1-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,311,301,T1-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,312,301,T2-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,313,301,T2-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,314,301,T2-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,315,301,T2-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
physiological responses.xlsx,Sheet1,316,301,T2-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,301,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
