source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,partition,group_cv_fold,random_seed,split_version
"DMI, milk yield and composition.xlsx",Sheet1,50,105,4,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,51,105,5,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,52,105,1,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,53,105,2,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,54,105,3,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,55,105,4,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,56,105,5,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,57,105,1,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,58,105,2,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,59,105,3,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,60,105,4,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,61,105,5,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,62,106,1,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,63,106,2,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,64,106,3,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,65,106,4,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,66,106,5,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,67,106,1,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,68,106,2,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,69,106,3,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,70,106,4,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,71,106,5,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,72,106,1,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,73,106,2,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,74,106,3,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,75,106,4,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,76,106,5,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,77,107,1,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,78,107,2,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,79,107,3,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,80,107,4,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,81,107,5,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,82,107,1,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,83,107,2,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,84,107,3,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,85,107,4,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,86,107,5,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,87,107,1,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,88,107,2,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,89,107,3,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,90,107,4,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,91,107,5,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,92,108,1,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,93,108,2,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,94,108,3,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,95,108,4,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,96,108,5,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,97,108,1,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,98,108,2,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,99,108,3,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,100,108,4,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,101,108,5,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,102,108,1,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,103,108,2,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,104,108,3,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,105,108,4,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,106,108,5,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,107,109,1,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,108,109,2,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,109,109,3,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,110,109,4,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,111,109,5,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,112,109,1,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,113,109,2,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,114,109,3,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,115,109,4,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,116,109,5,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,117,109,1,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,118,109,2,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,119,109,3,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,120,109,4,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,121,109,5,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,122,110,1,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,123,110,2,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,124,110,3,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,125,110,4,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,126,110,5,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,127,110,1,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,128,110,2,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,129,110,3,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,130,110,4,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,131,110,5,T1,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,132,110,1,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,133,110,2,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,134,110,3,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,135,110,4,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,136,110,5,T2,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,137,111,1,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,138,111,2,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,139,111,3,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,140,111,4,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,141,111,5,T0,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,142,111,1,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,143,111,2,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,144,111,3,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,145,111,4,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,146,111,5,T1,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,147,111,1,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,148,111,2,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,149,111,3,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,150,111,4,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,151,111,5,T2,Local,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,152,202,1,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,153,202,2,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,154,202,3,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,155,202,4,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,156,202,5,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,157,202,1,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,158,202,2,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,159,202,3,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,160,202,4,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,161,202,5,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,162,202,1,T2,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,163,202,2,T2,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,164,202,3,T2,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,165,202,4,T2,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,166,202,5,T2,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,167,203,1,T0,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,168,203,2,T0,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,169,203,3,T0,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,170,203,4,T0,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,171,203,5,T0,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,172,203,1,T1,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,173,203,2,T1,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,174,203,3,T1,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,175,203,4,T1,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,176,203,5,T1,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,177,203,1,T2,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,178,203,2,T2,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,179,203,3,T2,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,180,203,4,T2,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,181,203,5,T2,HF50,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,182,204,1,T0,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,183,204,2,T0,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,184,204,3,T0,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,185,204,4,T0,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,186,204,5,T0,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,187,204,1,T1,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,188,204,2,T1,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,189,204,3,T1,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,190,204,4,T1,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,191,204,5,T1,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,192,204,1,T2,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,193,204,2,T2,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,194,204,3,T2,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,195,204,4,T2,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,196,204,5,T2,HF50,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,197,205,1,T0,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,198,205,2,T0,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,199,205,3,T0,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,200,205,4,T0,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,201,205,5,T0,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,202,205,1,T1,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,203,205,2,T1,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,204,205,3,T1,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,205,205,4,T1,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,206,205,5,T1,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,207,205,1,T2,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,208,205,2,T2,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,209,205,3,T2,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,210,205,4,T2,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,211,205,5,T2,HF50,holdout,,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,212,206,1,T0,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,213,206,2,T0,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,214,206,3,T0,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,215,206,4,T0,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,216,206,5,T0,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,217,206,1,T1,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,218,206,2,T1,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,219,206,3,T1,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,220,206,4,T1,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,221,206,5,T1,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,222,206,1,T2,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,223,206,2,T2,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,224,206,3,T2,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,225,206,4,T2,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,226,206,5,T2,HF50,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,227,207,1,T0,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,228,207,2,T0,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,229,207,3,T0,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,230,207,4,T0,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,231,207,5,T0,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,232,207,1,T1,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,233,207,2,T1,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,234,207,3,T1,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,235,207,4,T1,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,236,207,5,T1,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,237,207,1,T2,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,238,207,2,T2,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,239,207,3,T2,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,240,207,4,T2,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,241,207,5,T2,HF50,development,1,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,242,208,1,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,243,208,2,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,244,208,3,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,245,208,4,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,246,208,5,T0,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,247,208,1,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,248,208,2,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,249,208,3,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,250,208,4,T1,HF50,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,251,208,5,T1,HF50,development,5,42,bangladesh_group_split_v1
