dataset,grouping,group,count,missing_count,minimum,maximum,mean,median,standard_deviation,p01,p05,p25,p50,p75,p95,p99
global_cattle_milk_yield_prediction_dataset.csv,Breed,Brown_Swiss,6244,0,3.0,25.0,12.004292120435618,12.0,3.9227602793673335,3.0,5.5,9.3,12.0,14.7,18.4,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Butana,6242,0,3.0,25.0,12.058875360461391,12.0,4.052000032446139,3.0,5.3,9.2,12.0,14.9,18.7,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Danish_Red,6422,0,3.0,25.0,12.045468701339146,12.1,3.9690478820555537,3.0,5.4,9.3,12.1,14.8,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Deoni,6026,0,3.0,25.0,11.949917026219714,11.9,3.9773830500373193,3.0,5.4,9.2,11.9,14.6,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Exotic_Local_Cross,6250,0,3.0,25.0,12.004048000000001,12.0,3.9848281557132283,3.0,5.3,9.3,12.0,14.7,18.5,21.4
global_cattle_milk_yield_prediction_dataset.csv,Breed,Fleckvieh,6410,0,3.0,25.0,11.946817472698909,11.9,4.002771314833273,3.0,5.3,9.2,11.9,14.674999999999999,18.5,21.6
global_cattle_milk_yield_prediction_dataset.csv,Breed,Gangatiri,6340,0,3.0,25.0,12.064321766561514,12.0,3.9255170904140795,3.0,5.7,9.4,12.0,14.6,18.7,21.7
global_cattle_milk_yield_prediction_dataset.csv,Breed,Gir,6251,0,3.0,25.0,11.972372420412734,11.9,3.9472392117429167,3.0,5.4,9.2,11.9,14.6,18.4,21.4
global_cattle_milk_yield_prediction_dataset.csv,Breed,Girolando,6387,0,3.0,25.0,11.99214028495381,11.9,3.9396036467600117,3.0,5.5,9.3,11.9,14.6,18.5,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Guernsey,6246,0,3.0,25.0,12.019100224143452,12.0,3.9323838990394986,3.0,5.5,9.4,12.0,14.8,18.5,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Hariana,6201,0,3.0,25.0,12.008047089179167,12.0,4.022468116721414,3.0,5.4,9.2,12.0,14.7,18.7,21.5
global_cattle_milk_yield_prediction_dataset.csv,Breed,Holstein-Friesian,6227,0,3.0,25.0,11.85236871687811,11.8,3.979749425139459,3.0,5.2,9.05,11.8,14.5,18.5,21.373999999999977
global_cattle_milk_yield_prediction_dataset.csv,Breed,Holstein_Zebu_Cross,6253,0,3.0,25.0,12.02010235087158,12.0,3.940143219271476,3.0,5.5,9.3,12.0,14.8,18.439999999999962,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Illawarra_Shorthorn,6142,0,3.0,25.0,11.976538586779549,12.0,3.9474464363164596,3.0,5.4,9.225,12.0,14.6,18.6,21.5
global_cattle_milk_yield_prediction_dataset.csv,Breed,Jersey,6149,0,3.0,25.0,11.925451292893154,11.9,3.90819307881428,3.0,5.4,9.3,11.9,14.6,18.3,21.0
global_cattle_milk_yield_prediction_dataset.csv,Breed,Jersey_Zebu_Cross,6240,0,3.0,25.0,12.120544871794872,12.1,3.886436195730463,3.0,5.7,9.5,12.1,14.8,18.6,21.1
global_cattle_milk_yield_prediction_dataset.csv,Breed,Kankrej,6173,0,3.0,25.0,11.91127490685242,11.9,4.032930617945771,3.0,5.1,9.2,11.9,14.6,18.6,21.5
global_cattle_milk_yield_prediction_dataset.csv,Breed,Kenana,6341,0,3.0,25.0,11.996845923355938,12.0,3.915036469174108,3.0,5.4,9.3,12.0,14.7,18.4,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Krishna_Valley,6291,0,3.0,25.0,12.019980925131142,12.0,3.9171296067090915,3.0,5.6,9.3,12.0,14.7,18.6,21.1
global_cattle_milk_yield_prediction_dataset.csv,Breed,Milking_Shorthorn,6119,0,3.0,25.0,12.095097238110803,12.1,3.9312677911946206,3.1,5.6,9.4,12.1,14.7,18.6,21.6
global_cattle_milk_yield_prediction_dataset.csv,Breed,Montbeliarde,6282,0,3.0,25.0,12.080802292263611,12.1,3.927082651206929,3.0,5.5,9.4,12.1,14.7,18.5,21.21899999999996
global_cattle_milk_yield_prediction_dataset.csv,Breed,NDama,6189,0,3.0,25.0,11.932412344482145,11.9,3.944069584512329,3.0,5.3,9.2,11.9,14.7,18.4,21.0
global_cattle_milk_yield_prediction_dataset.csv,Breed,Normande,6130,0,3.0,25.0,11.923670473083195,11.9,3.966487436449752,3.0,5.4,9.2,11.9,14.6,18.6,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Norwegian_Red,6214,0,3.0,25.0,12.012375281622143,12.0,3.925503744239645,3.0,5.5,9.3,12.0,14.6,18.6,21.186999999999987
global_cattle_milk_yield_prediction_dataset.csv,Breed,Ongole,6286,0,3.0,25.0,12.08768692332167,12.1,3.9664926517895998,3.0,5.5,9.4,12.1,14.8,18.7,21.114999999999966
global_cattle_milk_yield_prediction_dataset.csv,Breed,Rathi,6164,0,3.0,25.0,12.123004542504864,12.1,3.9094309672545484,3.0,5.5,9.5,12.1,14.725,18.5,21.4
global_cattle_milk_yield_prediction_dataset.csv,Breed,Red_Poll_Africa,6439,0,3.0,25.0,12.031712998912875,12.1,3.9751852255914417,3.0,5.3,9.3,12.1,14.8,18.5,21.0
global_cattle_milk_yield_prediction_dataset.csv,Breed,Red_Sindhi,6146,0,3.0,25.0,12.067800195248942,12.1,3.972093410689743,3.0,5.4,9.3,12.1,14.8,18.6,21.1
global_cattle_milk_yield_prediction_dataset.csv,Breed,Sahiwal,6283,0,3.0,25.0,12.040888110775109,12.1,3.993164843068645,3.0,5.3,9.3,12.1,14.7,18.7,21.31800000000003
global_cattle_milk_yield_prediction_dataset.csv,Breed,Simmental,6196,0,3.0,25.0,12.039767591994835,12.1,3.970457923251667,3.0,5.5,9.2,12.1,14.8,18.5,21.405000000000015
global_cattle_milk_yield_prediction_dataset.csv,Breed,Tharparkar,6361,0,3.0,25.0,12.169391605093539,12.2,3.9833405149571792,3.0,5.7,9.4,12.2,14.9,18.6,21.639999999999965
global_cattle_milk_yield_prediction_dataset.csv,Breed,Tipo_Carora,6311,0,3.0,25.0,11.90009507209634,11.9,4.048881983441973,3.0,5.0,9.2,11.9,14.6,18.7,21.4
global_cattle_milk_yield_prediction_dataset.csv,Breed,White_Fulani,6112,0,3.0,25.0,12.045435209424083,12.1,3.960666382542854,3.0,5.4,9.3,12.1,14.7,18.7,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Zebu_Cross_Brazil,6315,0,3.0,25.0,11.969770387965163,11.9,3.9691505025933074,3.0,5.3,9.2,11.9,14.7,18.5,21.185999999999968
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,200-299,24937,0,3.0,25.0,12.043000360909494,12.0,3.9569944160726935,3.0,5.4,9.3,12.0,14.7,18.6,21.2
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,300-399,50048,0,3.0,25.0,12.032414881713557,12.0,3.963553669942553,3.0,5.4,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,400-499,49795,0,3.0,25.0,12.005510593433074,12.0,3.9635635331978505,3.0,5.4,9.3,12.0,14.7,18.6,21.4
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,500-599,50080,0,3.0,25.0,12.02043730031949,12.0,3.934893809669954,3.0,5.5,9.3,12.0,14.7,18.5,21.3
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,600-699,49999,0,3.0,25.0,11.97709754195084,12.0,3.9816968046655097,3.0,5.3,9.2,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Weight_kg_range,700-799,25141,0,3.0,25.0,12.037639712024182,12.0,3.9551660604395367,3.0,5.4,9.3,12.0,14.7,18.6,21.4
